"Make Id","Model Id","Submodel Id","Trim Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Trim MSRP","Trim Invoice","Trim Created","Trim Modified"
24,7261,72335,6356,2020,"Alfa Romeo",Stelvio,Quadrifoglio,Quadrifoglio,"Quadrifoglio 4dr SUV AWD (2.9L 6cyl Turbo 8A)",80500,75350,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7261,72334,6349,2020,"Alfa Romeo",Stelvio,Base,Base,"4dr SUV AWD (2.0L 4cyl Turbo 8A)",43400,41218,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7261,72337,6353,2020,"Alfa Romeo",Stelvio,TI,"Ti Lusso","Ti Lusso 4dr SUV AWD (2.0L 4cyl Turbo 8A)",48300,45701,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7261,72337,6354,2020,"Alfa Romeo",Stelvio,TI,"Ti Sport","Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A)",48300,45701,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7261,72337,6355,2020,"Alfa Romeo",Stelvio,TI,"Ti Sport Carbon","Ti Sport Carbon 4dr SUV AWD (2.0L 4cyl Turbo 8A)",52300,49341,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7261,72334,6348,2020,"Alfa Romeo",Stelvio,Base,Base,"4dr SUV (2.0L 4cyl Turbo 8A)",41400,39378,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
44,7187,72344,6359,2020,"Aston Martin",DB11,AMR,AMR,"AMR 2dr Coupe (5.2L 12cyl Turbo 8A)",245900,0,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
44,7187,72345,6358,2020,"Aston Martin",DB11,Base,V8,"V8 2dr Coupe (4.0L 8cyl Turbo 8A)",205600,0,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
44,7187,72346,6357,2020,"Aston Martin",DB11,Volante,"V8 Volante","V8 Volante 2dr Convertible (4.0L 8cyl Turbo 8A)",220900,0,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
44,3770,72343,6360,2020,"Aston Martin",DBS,"Superleggera Volante",Volante,"Volante 2dr Convertible (5.2L 12cyl Turbo 8A)",329100,0,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
44,3770,72342,6361,2020,"Aston Martin",DBS,Superleggera,Base,"2dr Coupe (5.2L 12cyl Turbo 8A)",311100,0,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
44,4101,72340,6363,2020,"Aston Martin",Vantage,AMR,"AMR Hero","AMR Hero 2dr Coupe (4.0L 8cyl Turbo 7M)",179995,0,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
44,4101,72340,6364,2020,"Aston Martin",Vantage,AMR,"AMR 59 Edition","AMR 59 Edition 2dr Coupe (4.0L 8cyl Turbo 7M)",204995,0,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
44,4101,72341,6362,2020,"Aston Martin",Vantage,Base,Base,"2dr Coupe (4.0L 8cyl Turbo 8A)",152995,0,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
2,6478,72389,6365,2020,Audi,A3,Premium,"Sport Premium","Sport Premium 4dr Sedan (2.0L 4cyl Turbo 7AM)",33300,31304,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
2,6478,72390,6366,2020,Audi,A3,"Premium Plus","Sport Premium Plus","Sport Premium Plus 4dr Sedan (2.0L 4cyl Turbo 7AM)",36300,34124,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
2,6479,72392,6368,2020,Audi,"A3 Quattro","Premium Plus","Premium Plus S line","Premium Plus S line 4dr Sedan AWD (2.0L 4cyl Turbo 7AM)",39500,37132,"6/29/23, 8:59 PM","6/29/23, 9:31 PM"
2,6479,72391,6367,2020,Audi,"A3 Quattro",Premium,"Premium S line","Premium S line 4dr Sedan AWD (2.0L 4cyl Turbo 7AM)",36500,34312,"6/29/23, 8:59 PM","6/29/23, 9:31 PM"
2,5712,72428,6373,2020,Audi,A4,PRESTIGE,Prestige,"Prestige 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM)",46950,44134,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5712,72429,6369,2020,Audi,A4,Premium,Premium,"Premium 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM)",37400,35156,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5712,72430,6371,2020,Audi,A4,"Premium Plus","Premium Plus","Premium Plus 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM)",41000,38540,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7188,72351,6377,2020,Audi,"A4 allroad",PRESTIGE,Prestige,"Prestige 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM)",53650,50432,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7188,72353,6376,2020,Audi,"A4 allroad","Premium Plus","Premium Plus","Premium Plus 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM)",47700,44839,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7188,72352,6375,2020,Audi,"A4 allroad",Premium,Premium,"Premium 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM)",44600,41924,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5711,72349,6372,2020,Audi,"A4 Quattro","Premium Plus","Premium Plus","Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",44000,41362,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5711,72348,6370,2020,Audi,"A4 Quattro",Premium,Premium,"Premium 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",40900,38447,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5711,72347,6374,2020,Audi,"A4 Quattro",PRESTIGE,Prestige,"Prestige 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",49950,46955,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,6651,72395,6382,2020,Audi,"A5 Quattro","Premium Plus","Premium Plus","Premium Plus 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",46700,43899,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,6651,72394,6381,2020,Audi,"A5 Quattro",Premium,Premium,"Premium 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",42900,40327,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,6651,72394,6384,2020,Audi,"A5 Quattro",Premium,Premium,"Premium 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",49900,46907,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,6651,72393,6383,2020,Audi,"A5 Quattro",PRESTIGE,Prestige,"Prestige 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",52600,49446,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,6651,72393,6386,2020,Audi,"A5 Quattro",PRESTIGE,Prestige,"Prestige 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",59600,56026,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,6651,72395,6385,2020,Audi,"A5 Quattro","Premium Plus","Premium Plus","Premium Plus 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",53700,50479,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
