"Make Id","Model Id","Submodel Id","Model Year","Make Name","Model Name","Submodel Name","Submodel Created","Submodel Modified"
3,5584,72507,2020,BMW,540i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7196,72447,2020,BMW,"540i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5516,72448,2020,BMW,740i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7202,72512,2020,BMW,"740i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7401,72513,2020,BMW,"745e xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6786,72514,2020,BMW,"750i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7390,72449,2020,BMW,840i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7391,72450,2020,BMW,"840i Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7392,72451,2020,BMW,"840i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7393,72452,2020,BMW,"840i xDrive Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6559,72515,2020,BMW,"Alpina B7",xDrive,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7003,72517,2020,BMW,i3,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7003,72518,2020,BMW,i3,"Range Extender","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7268,72520,2020,BMW,i3s,"Range Extender","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7268,72519,2020,BMW,i3s,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7004,72525,2020,BMW,i8,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7131,72454,2020,BMW,M2,Competition,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7131,72453,2020,BMW,M2,CS,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7398,72490,2020,BMW,"M235i xDrive Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7200,72491,2020,BMW,M240i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7201,72492,2020,BMW,"M240i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7399,72493,2020,BMW,M340i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7400,72494,2020,BMW,"M340i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
